Title,Price,URL,Image
"Prada Paradigme Eau De Parfum","3,990,000₫","/products/prada-paradigme-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/prada-paradigme-eau-de-parfum_3caa2b5fb5bd45048cfa3d6442edbbdc_grande.jpg"
"MCM Diamond Eau De Parfum","2,560,000₫","/products/mcm-diamond-eau-de-parfum","https://cdn.hstatic.net/products/1000340570/mcm-diamond_16217897c5fb41e1a6e87c68093dde02_grande.jpg"
"Valentino Uomo Born In Roma The Gold","3,050,000₫","/products/valentino-uomo-born-in-roma-the-gold","https://cdn.hstatic.net/products/1000340570/valentino-uomo-born-in-roma-the-gold_7ad7295be76449648c8769c80d7e313f_grande.jpg"
"Gucci Bloom Eau de Parfum For Her","3,800,000₫","/products/nuoc-hoa-nu-gucci-bloom","https://product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg"
"Carolina Herrera Good Girl Eau de Parfum","2,230,000₫","/products/nuoc-hoa-nu-carolina-herrera-good-girl","https://product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg"
"Versace Eros For Men","2,600,000₫","/products/nuoc-hoa-versace-eros","https://product.hstatic.net/1000340570/product/versace-eros-for-men_e21f596ba1f6467eb39ace8813943882_grande.jpg"
"Jean Paul Gaultier Scandal","2,990,000₫","/products/nuoc-hoa-nu-scandal-jean-paul-gaultier","https://cdn.hstatic.net/products/1000340570/jean-paul-scandal-edp-80ml_b39ed3eafccf42dd8b1f6123bb033808_grande.jpg"
"Moschino Toy 2 For Woman","2,500,000₫","/products/nuoc-hoa-nu-moschino-toy-2-edp","https://product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg"
"Marc Jacobs Daisy Dream","2,390,000₫","/products/nuoc-hoa-nu-marc-jacobs-daisy-dream","https://product.hstatic.net/1000340570/product/full_17bcae326b9040c383627b14f7eec505_grande.jpg"
"Versace Pour Homme","2,300,000₫","/products/nuoc-hoa-versace-pour-homme","https://product.hstatic.net/1000340570/product/versace-pour-homme_aac4a84bdbdf400fb3140f176b64373a_grande.jpg"
